	IWA ID	Category	Median Date	Median Data Value	Date Offset
64	4.A.1.a.1.I05	5	2009-06-01	17.95	3226 days 00:00:00.000000000
65	4.A.1.a.1.I05	5	2011-07-01	19.6	3986 days 00:00:00.000000000
66	4.A.1.a.1.I05	6	2009-06-01	4.58	3226 days 00:00:00.000000000
67	4.A.1.a.1.I05	6	2011-07-01	9.79	3986 days 00:00:00.000000000
68	4.A.1.a.1.I05	7	2009-06-01	2.6	3226 days 00:00:00.000000000
69	4.A.1.a.1.I05	7	2011-07-01	15.02	3986 days 00:00:00.000000000
70	4.A.1.a.1.I06	1	2005-12-01	8.08	1948 days 00:00:00.000000000
71	4.A.1.a.1.I06	1	2014-07-01	4.17	5082 days 00:00:00.000000000
72	4.A.1.a.1.I06	2	2005-12-01	10.48	1948 days 00:00:00.000000000
73	4.A.1.a.1.I06	2	2014-07-01	20.28	5082 days 00:00:00.000000000
74	4.A.1.a.1.I06	3	2005-12-01	19.16	1948 days 00:00:00.000000000
75	4.A.1.a.1.I06	3	2014-07-01	14.92	5082 days 00:00:00.000000000
76	4.A.1.a.1.I06	4	2005-12-01	20.42	1948 days 00:00:00.000000000
77	4.A.1.a.1.I06	4	2014-07-01	22.125	5082 days 00:00:00.000000000
78	4.A.1.a.1.I06	5	2005-12-01	18.94	1948 days 00:00:00.000000000
79	4.A.1.a.1.I06	5	2014-07-01	15.295	5082 days 00:00:00.000000000
80	4.A.1.a.1.I06	6	2005-12-01	6.46	1948 days 00:00:00.000000000
81	4.A.1.a.1.I06	6	2014-07-01	8.0	5082 days 00:00:00.000000000
82	4.A.1.a.1.I06	7	2005-12-01	3.96	1948 days 00:00:00.000000000
83	4.A.1.a.1.I06	7	2014-07-01	5.225	5082 days 00:00:00.000000000
84	4.A.1.a.1.I07	1	2004-07-01	5.31	1430 days 00:00:00.000000000
85	4.A.1.a.1.I07	1	2011-07-01	2.38	3986 days 00:00:00.000000000
86	4.A.1.a.1.I07	2	2004-07-01	10.2	1430 days 00:00:00.000000000
87	4.A.1.a.1.I07	2	2011-07-01	7.14	3986 days 00:00:00.000000000
88	4.A.1.a.1.I07	3	2004-07-01	12.2	1430 days 00:00:00.000000000
89	4.A.1.a.1.I07	3	2011-07-01	21.43	3986 days 00:00:00.000000000
90	4.A.1.a.1.I07	4	2004-07-01	21.135	1430 days 00:00:00.000000000
91	4.A.1.a.1.I07	4	2011-07-01	21.43	3986 days 00:00:00.000000000
92	4.A.1.a.1.I07	5	2004-07-01	31.060000000000002	1430 days 00:00:00.000000000
93	4.A.1.a.1.I07	5	2011-07-01	23.81	3986 days 00:00:00.000000000
94	4.A.1.a.1.I07	6	2004-07-01	18.604999999999997	1430 days 00:00:00.000000000
95	4.A.1.a.1.I07	6	2011-07-01	4.76	3986 days 00:00:00.000000000
96	4.A.1.a.1.I07	7	2004-07-01	1.49	1430 days 00:00:00.000000000
97	4.A.1.a.1.I07	7	2011-07-01	7.14	3986 days 00:00:00.000000000
98	4.A.1.a.1.I08	1	2008-06-01	11.9	2861 days 00:00:00.000000000
99	4.A.1.a.1.I08	1	2010-06-01	20.0	3591 days 00:00:00.000000000
100	4.A.1.a.1.I08	2	2008-06-01	33.33	2861 days 00:00:00.000000000
101	4.A.1.a.1.I08	2	2010-06-01	25.0	3591 days 00:00:00.000000000
102	4.A.1.a.1.I08	3	2008-06-01	20.83	2861 days 00:00:00.000000000
103	4.A.1.a.1.I08	3	2010-06-01	26.92	3591 days 00:00:00.000000000
104	4.A.1.a.1.I08	4	2008-06-01	12.01	2861 days 00:00:00.000000000
105	4.A.1.a.1.I08	4	2010-06-01	11.54	3591 days 00:00:00.000000000
106	4.A.1.a.1.I08	5	2008-06-01	10.71	2861 days 00:00:00.000000000
107	4.A.1.a.1.I08	5	2010-06-01	11.54	3591 days 00:00:00.000000000
108	4.A.1.a.1.I08	6	2008-06-01	4.17	2861 days 00:00:00.000000000
109	4.A.1.a.1.I08	6	2010-06-01	0.0	3591 days 00:00:00.000000000
110	4.A.1.a.1.I08	7	2008-06-01	4.17	2861 days 00:00:00.000000000
